Accuracy , Precison , Recall , FScore , 
0.86 , 0.861 , 0.86 , 0.86 , 
0.873 , 0.874 , 0.873 , 0.873 , 
0.869 , 0.869 , 0.869 , 0.869 , 
0.864 , 0.865 , 0.864 , 0.864 , 
0.855 , 0.855 , 0.855 , 0.855 , 
0.869 , 0.869 , 0.869 , 0.869 , 
0.85 , 0.85 , 0.85 , 0.85 , 
0.856 , 0.856 , 0.856 , 0.856 , 
0.846 , 0.846 , 0.846 , 0.846 , 
0.864 , 0.864 , 0.864 , 0.864 , 
